x, y
0.02372479240806643, 0.13490725126475547
0.08896797153024912, 0.13490725126475547
0.1542111506524318, 0.1399662731871838
0.2431791221826809, 0.1551433389544688
1.0498220640569396, 0.9308600337268128
0.3262158956109134, 0.18549747048903878
0.3973902728351127, 0.2175379426644182
0.44483985765124556, 0.2580101180438448
0.49228944246737844, 0.3069139966273187
0.5990510083036773, 0.44013490725126475
0.9430604982206405, 0.9713322091062394
0.8956109134045077, 0.9527824620573355
0.8422301304863582, 0.9224283305227655
0.8066429418742586, 0.8701517706576728
0.7710557532621589, 0.806070826306914
0.6524317912218268, 0.5328836424957841
0.7473309608540926, 0.7537942664418212
0.5456702253855279, 0.3642495784148398
0.7117437722419929, 0.6610455311973018
1.150652431791222, 0.8195615514333895
1.2574139976275207, 0.6897133220910624
1.3523131672597866, 0.5548060708263068
1.4590747330960854, 0.44350758853288363
1.5480427046263345, 0.3490725126475548
1.6488730723606169, 0.2715008431703204
1.7497034400948992, 0.20741989881956155
1.8386714116251484, 0.163575042158516
1.9513641755634639, 0.12478920741989881
2.034400948991696, 0.1045531197301855
2.147093712930012, 0.08263069139966273
2.2538552787663106, 0.0657672849915683
2.34282325029656, 0.05564924114671163
4.988137603795967, 0.00505902192242833
2.449584816132859, 0.047217537942664416
2.65717674970344, 0.03709949409780776
2.7580071174377223, 0.03204047217537943
2.5444839857651247, 0.043844856661045525
2.9537366548042705, 0.023608768971332208
2.8647686832740216, 0.026981450252951095
3.0427046263345194, 0.023608768971332208
3.3274021352313166, 0.01854974704890388
3.1613285883748516, 0.023608768971332208
4.080664294187426, 0.01011804384485666
4.377224199288256, 0.006745362563237774
4.733096085409253, 0.006745362563237774
3.582443653618031, 0.01517706576728499
3.837485172004745, 0.011804384485666104
1.0972716488730723, 0.87858347386172
1.2040332147093713, 0.7470489038785835
1.2930011862396205, 0.6188870151770657
0.6761565836298933, 0.5902192242833052
0.6346381969157769, 0.4873524451939292
4.561091340450771, 0.008431703204047217
4.234875444839858, 0.011804384485666104
