% Model:              Micro_homogenous_v2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 30 2025, 12:40
% Dimension:          3
% Nodes:              501
% Expressions:        5
% Description:        Electric field, x-component, Electric field, y-component, Electric field, z-component, Electric potential, 
% Length unit:        m
% x                       y                        z                        ec.Ex (V/m)              ec.Ey (V/m)              ec.Ez (V/m)              V (V)                    d(ec.Ex,x) (V/m^2)
0                         1.18E-4                  8.099999999999999E-5     0.012679690275092526     25.617633777782977       17.545077028016408       0.0031743639452690674    201443.2600325942
1.0E-6                    1.18E-4                  8.099999999999999E-5     0.21412295030751238      25.607578366317206       17.536503097236817       0.003174250543948777     201443.2600325942
2.0E-6                    1.18E-4                  8.099999999999999E-5     0.4155662103401596       25.597522954851662       17.5279291664571         0.0031739356993684513    201443.2600325942
3.0E-6                    1.18E-4                  8.099999999999999E-5     0.6170094703726932       25.58746754338589        17.519355235677295       0.0031734194115280953    201443.2600325942
4.0E-6                    1.18E-4                  8.099999999999999E-5     0.8184527304053759       25.577412131920113       17.51078130489782        0.0031727016804277064    201443.2600325942
4.9999999999999996E-6     1.18E-4                  8.099999999999999E-5     1.0198959904379343       25.567356720454452       17.502207374118115       0.003171782506067285     201443.2600325942
6.0E-6                    1.18E-4                  8.099999999999999E-5     1.207809369172253        25.57151115202737        17.488905921034945       0.0031706839674904754    219539.44386577606
7.0E-6                    1.18E-4                  8.099999999999999E-5     1.4273488130379661       25.53073633475097        17.485433595552212       0.0031693663883993715    219539.44386577606
8.0E-6                    1.18E-4                  8.099999999999999E-5     1.6468882569038783       25.489961517474526       17.48196127006951        0.0031678292698644       219539.44386577606
9.0E-6                    1.18E-4                  8.099999999999999E-5     1.866427700769563        25.44918670019817        17.478488944586925       0.003166072611885564     219539.44386577606
9.999999999999999E-6      1.18E-4                  8.099999999999999E-5     2.0460352016587677       25.37155879833489        17.426774455002132       0.0031640979871172432    196999.30698223598
1.1E-5                    1.18E-4                  8.099999999999999E-5     2.5662141624436714       25.361689732174383       17.427353379248533       0.0031619400914397436    167848.59928986803
1.2E-5                    1.18E-4                  8.099999999999999E-5     2.605709815769103        25.37645172327666        17.46233865635577        0.0031593689757010443    207133.2200113535
1.3E-5                    1.18E-4                  8.099999999999999E-5     2.812843035780247        25.327346713508348       17.41713222275358        0.0031566596992752697    207133.2200113535
1.4E-5                    1.18E-4                  8.099999999999999E-5     3.0199762557917893       25.278241703740008       17.37192578915154        0.0031537432896294837    207133.2200113535
1.4999999999999999E-5     1.18E-4                  8.099999999999999E-5     3.2271094758030756       25.22913669397161        17.326719355549372       0.003150619746763686     207133.2200113535
1.6E-5                    1.18E-4                  8.099999999999999E-5     3.434242695814447        25.180031684203243       17.281512921947275       0.0031472890706778773    207133.2200113535
1.7E-5                    1.18E-4                  8.099999999999999E-5     3.6413759158258046       25.130926674434917       17.236306488345164       0.0031437512613720574    207133.2200113535
1.8E-5                    1.18E-4                  8.099999999999999E-5     3.8485091358371406       25.081821664666684       17.191100054743075       0.003140006318846226     207133.2200113535
1.8999999999999998E-5     1.18E-4                  8.099999999999999E-5     3.9374876337544293       24.787951904023558       17.171556163232324       0.0031360693245908794    195892.66685404442
1.9999999999999998E-5     1.18E-4                  8.099999999999999E-5     4.133380300608707        24.72617269948624        17.141985097263017       0.003132033890623698     195892.66685404442
2.1E-5                    1.18E-4                  8.099999999999999E-5     4.4705516113782835       24.797096710575424       16.860622786622855       0.003127729573202845     190712.141103521
2.2E-5                    1.18E-4                  8.099999999999999E-5     4.6612637524820855       24.71984221216361        16.82589070603656        0.0031231636655209153    190712.141103521
2.3E-5                    1.18E-4                  8.099999999999999E-5     4.843609443504164        24.63854689682816        16.782388178952395       0.003118408168922718     169011.66200713813
2.4E-5                    1.18E-4                  8.099999999999999E-5     5.012621105511144        24.556648805322954       16.73055255421734        0.003113480053648209     169011.66200713813
2.4999999999999998E-5     1.18E-4                  8.099999999999999E-5     5.208100462768183        24.422999982746997       16.759804990761644       0.003108381354549096     159474.9018905498
2.6E-5                    1.18E-4                  8.099999999999999E-5     5.33200332636641         24.458817701512785       16.841830153115545       0.003103086702286987     188288.87860488147
2.7E-5                    1.18E-4                  8.099999999999999E-5     5.520292204971213        24.347978500647955       16.769089708524035       0.003097660554521318     188288.87860488147
2.8E-5                    1.18E-4                  8.099999999999999E-5     5.708581083576135        24.237139299783394       16.696349263932923       0.003092046117877043     188288.87860488147
2.9E-5                    1.18E-4                  8.099999999999999E-5     5.8968699621811          24.126300098918506       16.623608819341413       0.0030862433923541633    188288.87860488147
2.9999999999999997E-5     1.18E-4                  8.099999999999999E-5     6.0851588407858515       24.015460898053732       16.550868374750003       0.0030802523779526808    188288.87860488147
3.1E-5                    1.18E-4                  8.099999999999999E-5     6.273447719390788        23.904621697188844       16.47812793015856        0.003074073074672593     188288.87860488147
3.2E-5                    1.18E-4                  8.099999999999999E-5     6.4617365979956105       23.79378249632404        16.40538748556765        0.0030677054825138995    188288.87860488147
3.2999999999999996E-5     1.18E-4                  8.099999999999999E-5     6.650025476600575        23.68294329545941        16.332647040976177       0.003061149601476601     188288.87860488147
3.4E-5                    1.18E-4                  8.099999999999999E-5     6.838314355205483        23.572104094594494       16.25990659638486        0.0030544054315606974    188288.87860488147
3.5E-5                    1.18E-4                  8.099999999999999E-5     7.02660323381042         23.461264893729833       16.187166151793605       0.0030474729727661886    188288.87860488147
3.6E-5                    1.18E-4                  8.099999999999999E-5     7.093138541461357        23.37169105223427        16.175794783516608       0.0030404315772557824    175437.32248248905
