% Model:              Micro_3DArray_v2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 30 2025, 12:40
% Dimension:          3
% Nodes:              501
% Expressions:        5
% Description:        Electric field, x-component, Electric field, y-component, Electric field, z-component, Electric potential, 
% Length unit:        m
% x                       y                        z                        ec.Ex (V/m)              ec.Ey (V/m)              ec.Ez (V/m)              V (V)                    d(ec.Ex,x) (V/m^2)
0                         1.18E-4                  8.099999999999999E-5     -0.10711183874673225     29.63851435548122        34.52480022555869        0.005424555291600428     5169579.555602074
1.0E-6                    1.18E-4                  8.099999999999999E-5     5.0660580198738          30.557228834757638       34.487958812169175       0.00542207958693205      5204732.852177858
2.0E-6                    1.18E-4                  8.099999999999999E-5     8.777529722365443        32.0043490958044         35.205907077468055       0.005414988063198827     3365547.100368023
3.0E-6                    1.18E-4                  8.099999999999999E-5     11.178435241319676       35.05704280563123        34.90051080913821        0.0054049627185168165    2351275.1780400276
4.0E-6                    1.18E-4                  8.099999999999999E-5     13.041337787163286       38.86138929440503        34.51031673250017        0.005392590059595912     -357256.3656448126
4.9999999999999996E-6     1.18E-4                  8.099999999999999E-5     13.992218114070283       41.33618809452081        34.22731291900334        0.005379098421015417     199442.95364284515
6.0E-6                    1.18E-4                  8.099999999999999E-5     14.139436211026123       42.71488153299879        33.54436063773119        0.005365008166318235     759406.2088548541
7.0E-6                    1.18E-4                  8.099999999999999E-5     15.024291700527101       44.39965438133942        32.54999946707267        0.005350401759889893     805371.435886383
8.0E-6                    1.18E-4                  8.099999999999999E-5     15.746580139413709       44.65825290302064        31.231763988462262       0.005335261877648349     185719.31273174286
9.0E-6                    1.18E-4                  8.099999999999999E-5     15.8289628431898         45.04750466413837        28.13345842230973        0.0053194715277957594    115136.29693698883
9.999999999999999E-6      1.18E-4                  8.099999999999999E-5     15.146618001769866       45.351060483827155       24.532335825127575       0.0053037019952780744    -2432210.2800781727
1.1E-5                    1.18E-4                  8.099999999999999E-5     12.427134722524443       44.965793266177286       20.338595531932924       0.005289854952871801     -2138620.3148522377
1.2E-5                    1.18E-4                  8.099999999999999E-5     8.592183136165659        45.249613616405895       18.297285849664775       0.005278876204257433     -5228813.094124556
1.3E-5                    1.18E-4                  8.099999999999999E-5     2.708236606553214        45.03856393586193        18.516704187393884       0.00527299741038028      -5949538.1731745
1.4E-5                    1.18E-4                  8.099999999999999E-5     -2.303715138132077       45.089271724222726       17.638061301644598       0.00527240058486218      -2535860.962630093
1.4999999999999999E-5     1.18E-4                  8.099999999999999E-5     -4.839576100762756       44.534372494003094       21.442883303774124       0.00527597223048163      -2535860.962630093
1.6E-5                    1.18E-4                  8.099999999999999E-5     -7.077811631486611       43.50422418633131        25.450216112443456       0.005282030229267294     -2359081.749466896
1.7E-5                    1.18E-4                  8.099999999999999E-5     -6.673489978887339       43.40835579331497        27.60315734033299        0.005289075501607871     -116544.67726380192
1.8E-5                    1.18E-4                  8.099999999999999E-5     -6.790034656150109       42.19204074325984        29.057062512288418       0.005295807263925388     -116544.67726380192
1.8999999999999998E-5     1.18E-4                  8.099999999999999E-5     -6.961133880680862       40.39231218864302        31.305196582568897       0.005302705926716558     -124858.87704895437
1.9999999999999998E-5     1.18E-4                  8.099999999999999E-5     -5.4459937699753596      38.34237124634592        31.595081836657755       0.005308557486929544     498124.68864123523
2.1E-5                    1.18E-4                  8.099999999999999E-5     -4.947869081333607       35.89927319898845        32.03937240568871        0.005313754418355197     498124.68864123523
2.2E-5                    1.18E-4                  8.099999999999999E-5     -2.3763923229347483      33.526393227255454       32.67406145201721        0.005317676375861258     2890456.9185216427
2.3E-5                    1.18E-4                  8.099999999999999E-5     0.4012317985163918       30.855866643254522       32.94132749953471        0.005318650518625292     2757396.003098488
2.4E-5                    1.18E-4                  8.099999999999999E-5     4.271956687509032        28.463059969701966       32.81730833861337        0.0053165478720610965    4484536.857983589
2.4999999999999998E-5     1.18E-4                  8.099999999999999E-5     9.1805791795814          28.14270680782814        33.23566057803146        0.0053097559503498286    5137001.991185665
2.6E-5                    1.18E-4                  8.099999999999999E-5     14.444073872500212       29.916131051844786       32.64679310400652        0.005298060082201821     3476374.0122289658
2.7E-5                    1.18E-4                  8.099999999999999E-5     17.51664469842268        32.47340279748438        33.3621027895465         0.005282260418633168     1132220.387096867
2.8E-5                    1.18E-4                  8.099999999999999E-5     19.395342897088085       34.03372951813867        33.0382580555447         0.005264168142860834     544126.6713671535
2.9E-5                    1.18E-4                  8.099999999999999E-5     20.057740227004558       38.381494649867705       33.41742674832565        0.005244741848789981     878257.657772541
2.9999999999999997E-5     1.18E-4                  8.099999999999999E-5     20.558488372376416       40.605264440624296       33.38030656118758        0.005224268319800527     205037.19222410023
3.1E-5                    1.18E-4                  8.099999999999999E-5     20.763525564601366       41.93095600488846        33.09238348470467        0.0052036073128320405    205037.19222410023
3.2E-5                    1.18E-4                  8.099999999999999E-5     21.42277231126741        42.431276855912415       31.979688621908394       0.005182801633274595     563281.0599820614
3.2999999999999996E-5     1.18E-4                  8.099999999999999E-5     22.119488320146786       42.988387684372015       30.267457793757615       0.005161062982140589     741295.6236514151
3.4E-5                    1.18E-4                  8.099999999999999E-5     22.679547809166706       43.003138030352005       27.929762975393828       0.005138777261307066     1298647.303003788
3.5E-5                    1.18E-4                  8.099999999999999E-5     22.97779471066201        42.40938223259536        25.489606802572325       0.0051154932596294824    -411663.473742187
3.6E-5                    1.18E-4                  8.099999999999999E-5     22.527943454960223       42.32448205891552        20.818253481011993       0.005092681182490809     -3872026.9576587677
3.7E-5                    1.18E-4                  8.099999999999999E-5     18.126433920452428       42.048510531733996       17.815511589562107       0.005072281345233135     -4066711.544873357
3.7999999999999995E-5     1.18E-4                  8.099999999999999E-5     13.574816686386738       41.363127548086894       15.370976835072554       0.005056238920317432     -5233967.092876971
3.9E-5                    1.18E-4                  8.099999999999999E-5     8.363337911539645        40.54781457941442        15.873859299768128       0.005045270719452261     -5240569.845999122
3.9999999999999996E-5     1.18E-4                  8.099999999999999E-5     5.323665732624136        40.37916234785939        17.33172271571169        0.0050393568668718955    -2115334.8178225756
4.1E-5                    1.18E-4                  8.099999999999999E-5     1.989654611687314        38.92436562215889        20.415502070551305       0.0050359575417268905    -2215969.117602825
4.2E-5                    1.18E-4                  8.099999999999999E-5     1.169723344835404        37.88405468256457        22.865228182994656       0.005034410551410216     -769003.7368869781
4.2999999999999995E-5     1.18E-4                  8.099999999999999E-5     1.0359588438524554       36.45161241120695        25.036603390440405       0.005033513403282076     936195.1514028162
4.4E-5                    1.18E-4                  8.099999999999999E-5     1.192381618221816        34.82397602475805        26.300293513369667       0.005032237930298467     -373503.555829525
4.4999999999999996E-5     1.18E-4                  8.099999999999999E-5     1.4622640670049805       32.8275092972068         27.205950346739428       0.005031130132149595     1535272.4871538281
4.6E-5                    1.18E-4                  8.099999999999999E-5     2.8852391095871894       30.949464442186752       27.937381111680395       0.005028916871128183     1274627.6265027523
4.7E-5                    1.18E-4                  8.099999999999999E-5     5.086141962296097        28.02030465801363        27.82384466463941        0.0050249991172433926    4838114.614195481
4.8E-5                    1.18E-4                  8.099999999999999E-5     8.433450627127513        26.467184542495374       28.765412575853873       0.0050184166343513305    3760345.360427141
4.9E-5                    1.18E-4                  8.099999999999999E-5     11.807462470860628       25.390156712856026       28.3181753104368         0.005008248001984354     3407489.865222931
